Date,Stock Price,Company
2024-07-30 00:00:00-04:00,218.3068542,AAPL
2024-07-31 00:00:00-04:00,221.5794678,AAPL
2024-08-01 00:00:00-04:00,217.8678436,AAPL
2024-08-02 00:00:00-04:00,219.3644562,AAPL
2024-08-05 00:00:00-04:00,208.7983398,AAPL
2024-08-06 00:00:00-04:00,206.7629242,AAPL
2024-08-07 00:00:00-04:00,209.3471069,AAPL
2024-08-08 00:00:00-04:00,212.8292236,AAPL
2024-08-09 00:00:00-04:00,215.7526398,AAPL
2024-08-12 00:00:00-04:00,217.2909393,AAPL
2024-08-13 00:00:00-04:00,221.026825,AAPL
2024-08-14 00:00:00-04:00,221.4763336,AAPL
2024-08-15 00:00:00-04:00,224.4730377,AAPL
2024-08-16 00:00:00-04:00,225.8015747,AAPL
2024-08-19 00:00:00-04:00,225.6417542,AAPL
2024-08-20 00:00:00-04:00,226.2610626,AAPL
2024-08-21 00:00:00-04:00,226.1511841,AAPL
2024-08-22 00:00:00-04:00,224.2832489,AAPL
2024-08-23 00:00:00-04:00,226.5906982,AAPL
2024-08-26 00:00:00-04:00,226.9303284,AAPL
2024-08-27 00:00:00-04:00,227.7793884,AAPL
2024-08-28 00:00:00-04:00,226.2410889,AAPL
2024-08-29 00:00:00-04:00,229.5374603,AAPL
2024-08-30 00:00:00-04:00,228.7483368,AAPL
2024-09-03 00:00:00-04:00,222.525177,AAPL
2024-09-04 00:00:00-04:00,220.6072998,AAPL
2024-09-05 00:00:00-04:00,222.1356049,AAPL
2024-09-06 00:00:00-04:00,220.5773315,AAPL
2024-09-09 00:00:00-04:00,220.6672211,AAPL
2024-09-10 00:00:00-04:00,219.868103,AAPL
2024-09-11 00:00:00-04:00,222.4152985,AAPL
2024-09-12 00:00:00-04:00,222.525177,AAPL
2024-09-13 00:00:00-04:00,222.2554779,AAPL
2024-09-16 00:00:00-04:00,216.0822754,AAPL
2024-09-17 00:00:00-04:00,216.5517426,AAPL
2024-09-18 00:00:00-04:00,220.447464,AAPL
2024-09-19 00:00:00-04:00,228.6184692,AAPL
2024-09-20 00:00:00-04:00,227.9492035,AAPL
2024-09-23 00:00:00-04:00,226.2211151,AAPL
2024-09-24 00:00:00-04:00,227.1201172,AAPL
2024-09-25 00:00:00-04:00,226.1212158,AAPL
2024-09-26 00:00:00-04:00,227.2699585,AAPL
2024-09-27 00:00:00-04:00,227.5396576,AAPL
2024-09-30 00:00:00-04:00,232.7439423,AAPL
2024-10-01 00:00:00-04:00,225.9614105,AAPL
2024-10-02 00:00:00-04:00,226.530777,AAPL
2024-10-03 00:00:00-04:00,225.4219818,AAPL
2024-10-04 00:00:00-04:00,226.5507507,AAPL
2024-10-07 00:00:00-04:00,221.4463654,AAPL
2024-10-08 00:00:00-04:00,225.5218811,AAPL
2024-10-09 00:00:00-04:00,229.287735,AAPL
2024-10-10 00:00:00-04:00,228.7882843,AAPL
2024-10-11 00:00:00-04:00,227.2999268,AAPL
2024-10-14 00:00:00-04:00,231.0458069,AAPL
2024-10-15 00:00:00-04:00,233.5930023,AAPL
2024-10-16 00:00:00-04:00,231.5252686,AAPL
2024-10-17 00:00:00-04:00,231.8948669,AAPL
2024-10-18 00:00:00-04:00,234.7417297,AAPL
2024-10-21 00:00:00-04:00,236.220108,AAPL
2024-10-22 00:00:00-04:00,235.6007996,AAPL
2024-10-23 00:00:00-04:00,230.5063934,AAPL
2024-10-24 00:00:00-04:00,230.3166199,AAPL
2024-10-25 00:00:00-04:00,231.1556854,AAPL
2024-10-28 00:00:00-04:00,233.1434937,AAPL
2024-10-29 00:00:00-04:00,233.4131927,AAPL
2024-10-30 00:00:00-04:00,229.8471222,AAPL
2024-10-31 00:00:00-04:00,225.6617279,AAPL
2024-11-01 00:00:00-04:00,222.6650238,AAPL
2024-11-04 00:00:00-05:00,221.7660065,AAPL
2024-11-05 00:00:00-05:00,223.204422,AAPL
2024-11-06 00:00:00-05:00,222.475235,AAPL
2024-11-07 00:00:00-05:00,227.2299957,AAPL
2024-11-08 00:00:00-05:00,226.9600067,AAPL
2024-11-11 00:00:00-05:00,224.2299957,AAPL
2024-11-12 00:00:00-05:00,224.2299957,AAPL
2024-11-13 00:00:00-05:00,225.1199951,AAPL
2024-11-14 00:00:00-05:00,228.2200012,AAPL
2024-11-15 00:00:00-05:00,225,AAPL
2024-11-18 00:00:00-05:00,228.0200043,AAPL
2024-11-19 00:00:00-05:00,228.2799988,AAPL
2024-11-20 00:00:00-05:00,229,AAPL
2024-11-21 00:00:00-05:00,228.5200043,AAPL
2024-11-22 00:00:00-05:00,229.8699951,AAPL
2024-11-25 00:00:00-05:00,232.8699951,AAPL
2024-11-26 00:00:00-05:00,235.0599976,AAPL
2024-11-27 00:00:00-05:00,234.9299927,AAPL
2024-11-29 00:00:00-05:00,237.3300018,AAPL
2024-12-02 00:00:00-05:00,239.5899963,AAPL
2024-12-03 00:00:00-05:00,242.6499939,AAPL
2024-12-04 00:00:00-05:00,243.0099945,AAPL
2024-12-05 00:00:00-05:00,243.0399933,AAPL
2024-12-06 00:00:00-05:00,242.8399963,AAPL
2024-12-09 00:00:00-05:00,246.75,AAPL
2024-12-10 00:00:00-05:00,247.7700043,AAPL
2024-12-11 00:00:00-05:00,246.4900055,AAPL
2024-12-12 00:00:00-05:00,247.9600067,AAPL
2024-12-13 00:00:00-05:00,248.1300049,AAPL
2024-12-16 00:00:00-05:00,251.0399933,AAPL
2024-12-17 00:00:00-05:00,253.4799957,AAPL
2024-12-18 00:00:00-05:00,248.0500031,AAPL
2024-12-19 00:00:00-05:00,249.7899933,AAPL
2024-12-20 00:00:00-05:00,254.4900055,AAPL
2024-12-23 00:00:00-05:00,255.2700043,AAPL
2024-12-24 00:00:00-05:00,258.2000122,AAPL
2024-12-26 00:00:00-05:00,259.019989,AAPL
2024-12-27 00:00:00-05:00,255.5899963,AAPL
2024-12-30 00:00:00-05:00,252.1999969,AAPL
2024-07-30 00:00:00-04:00,181.7100067,AMZN
2024-07-31 00:00:00-04:00,186.9799957,AMZN
2024-08-01 00:00:00-04:00,184.0700073,AMZN
2024-08-02 00:00:00-04:00,167.8999939,AMZN
2024-08-05 00:00:00-04:00,161.0200043,AMZN
2024-08-06 00:00:00-04:00,161.9299927,AMZN
2024-08-07 00:00:00-04:00,162.7700043,AMZN
2024-08-08 00:00:00-04:00,165.8000031,AMZN
2024-08-09 00:00:00-04:00,166.9400024,AMZN
2024-08-12 00:00:00-04:00,166.8000031,AMZN
2024-08-13 00:00:00-04:00,170.2299957,AMZN
2024-08-14 00:00:00-04:00,170.1000061,AMZN
2024-08-15 00:00:00-04:00,177.5899963,AMZN
2024-08-16 00:00:00-04:00,177.0599976,AMZN
2024-08-19 00:00:00-04:00,178.2200012,AMZN
2024-08-20 00:00:00-04:00,178.8800049,AMZN
2024-08-21 00:00:00-04:00,180.1100006,AMZN
2024-08-22 00:00:00-04:00,176.1300049,AMZN
2024-08-23 00:00:00-04:00,177.0399933,AMZN
2024-08-26 00:00:00-04:00,175.5,AMZN
2024-08-27 00:00:00-04:00,173.1199951,AMZN
2024-08-28 00:00:00-04:00,170.8000031,AMZN
2024-08-29 00:00:00-04:00,172.1199951,AMZN
2024-08-30 00:00:00-04:00,178.5,AMZN
2024-09-03 00:00:00-04:00,176.25,AMZN
2024-09-04 00:00:00-04:00,173.3300018,AMZN
2024-09-05 00:00:00-04:00,177.8899994,AMZN
2024-09-06 00:00:00-04:00,171.3899994,AMZN
2024-09-09 00:00:00-04:00,175.3999939,AMZN
2024-09-10 00:00:00-04:00,179.5500031,AMZN
2024-09-11 00:00:00-04:00,184.5200043,AMZN
2024-09-12 00:00:00-04:00,187,AMZN
2024-09-13 00:00:00-04:00,186.4900055,AMZN
2024-09-16 00:00:00-04:00,184.8899994,AMZN
2024-09-17 00:00:00-04:00,186.8800049,AMZN
2024-09-18 00:00:00-04:00,186.4299927,AMZN
2024-09-19 00:00:00-04:00,189.8699951,AMZN
2024-09-20 00:00:00-04:00,191.6000061,AMZN
2024-09-23 00:00:00-04:00,193.8800049,AMZN
2024-09-24 00:00:00-04:00,193.9600067,AMZN
2024-09-25 00:00:00-04:00,192.5299988,AMZN
2024-09-26 00:00:00-04:00,191.1600037,AMZN
2024-09-27 00:00:00-04:00,187.9700012,AMZN
2024-09-30 00:00:00-04:00,186.3300018,AMZN
2024-10-01 00:00:00-04:00,185.1300049,AMZN
2024-10-02 00:00:00-04:00,184.7599945,AMZN
2024-10-03 00:00:00-04:00,181.9600067,AMZN
2024-10-04 00:00:00-04:00,186.5099945,AMZN
2024-10-07 00:00:00-04:00,180.8000031,AMZN
2024-10-08 00:00:00-04:00,182.7200012,AMZN
2024-10-09 00:00:00-04:00,185.1699982,AMZN
2024-10-10 00:00:00-04:00,186.6499939,AMZN
2024-10-11 00:00:00-04:00,188.8200073,AMZN
2024-10-14 00:00:00-04:00,187.5399933,AMZN
2024-10-15 00:00:00-04:00,187.6900024,AMZN
2024-10-16 00:00:00-04:00,186.8899994,AMZN
2024-10-17 00:00:00-04:00,187.5299988,AMZN
2024-10-18 00:00:00-04:00,188.9900055,AMZN
2024-10-21 00:00:00-04:00,189.0700073,AMZN
2024-10-22 00:00:00-04:00,189.6999969,AMZN
2024-10-23 00:00:00-04:00,184.7100067,AMZN
2024-10-24 00:00:00-04:00,186.3800049,AMZN
2024-10-25 00:00:00-04:00,187.8300018,AMZN
2024-10-28 00:00:00-04:00,188.3899994,AMZN
2024-10-29 00:00:00-04:00,190.8300018,AMZN
2024-10-30 00:00:00-04:00,192.7299957,AMZN
2024-10-31 00:00:00-04:00,186.3999939,AMZN
2024-11-01 00:00:00-04:00,197.9299927,AMZN
2024-11-04 00:00:00-05:00,195.7799988,AMZN
2024-11-05 00:00:00-05:00,199.5,AMZN
2024-11-06 00:00:00-05:00,207.0899963,AMZN
2024-11-07 00:00:00-05:00,210.0500031,AMZN
2024-11-08 00:00:00-05:00,208.1799927,AMZN
2024-11-11 00:00:00-05:00,206.8399963,AMZN
2024-11-12 00:00:00-05:00,208.9100037,AMZN
2024-11-13 00:00:00-05:00,214.1000061,AMZN
2024-11-14 00:00:00-05:00,211.4799957,AMZN
2024-11-15 00:00:00-05:00,202.6100006,AMZN
2024-11-18 00:00:00-05:00,201.6999969,AMZN
2024-11-19 00:00:00-05:00,204.6100006,AMZN
2024-11-20 00:00:00-05:00,202.8800049,AMZN
2024-11-21 00:00:00-05:00,198.3800049,AMZN
2024-11-22 00:00:00-05:00,197.1199951,AMZN
2024-11-25 00:00:00-05:00,201.4499969,AMZN
2024-11-26 00:00:00-05:00,207.8600006,AMZN
2024-11-27 00:00:00-05:00,205.7400055,AMZN
2024-11-29 00:00:00-05:00,207.8899994,AMZN
2024-12-02 00:00:00-05:00,210.7100067,AMZN
2024-12-03 00:00:00-05:00,213.4400024,AMZN
2024-12-04 00:00:00-05:00,218.1600037,AMZN
2024-12-05 00:00:00-05:00,220.5500031,AMZN
2024-12-06 00:00:00-05:00,227.0299988,AMZN
2024-12-09 00:00:00-05:00,226.0899963,AMZN
2024-12-10 00:00:00-05:00,225.0399933,AMZN
2024-12-11 00:00:00-05:00,230.2599945,AMZN
2024-12-12 00:00:00-05:00,228.9700012,AMZN
2024-12-13 00:00:00-05:00,227.4600067,AMZN
2024-12-16 00:00:00-05:00,232.9299927,AMZN
2024-12-17 00:00:00-05:00,231.1499939,AMZN
2024-12-18 00:00:00-05:00,220.5200043,AMZN
2024-12-19 00:00:00-05:00,223.2899933,AMZN
2024-12-20 00:00:00-05:00,224.9199982,AMZN
2024-12-23 00:00:00-05:00,225.0599976,AMZN
2024-12-24 00:00:00-05:00,229.0500031,AMZN
2024-12-26 00:00:00-05:00,227.0500031,AMZN
2024-12-27 00:00:00-05:00,223.75,AMZN
2024-12-30 00:00:00-05:00,221.3000031,AMZN
2024-07-30 00:00:00-04:00,169.8696442,GOOGL
2024-07-31 00:00:00-04:00,171.1165619,GOOGL
2024-08-01 00:00:00-04:00,170.3384857,GOOGL
2024-08-02 00:00:00-04:00,166.2486115,GOOGL
2024-08-05 00:00:00-04:00,158.8569031,GOOGL
2024-08-06 00:00:00-04:00,157.8992615,GOOGL
2024-08-07 00:00:00-04:00,158.5476685,GOOGL
2024-08-08 00:00:00-04:00,161.6300354,GOOGL
2024-08-09 00:00:00-04:00,163.2659912,GOOGL
2024-08-12 00:00:00-04:00,161.889389,GOOGL
2024-08-13 00:00:00-04:00,163.754776,GOOGL
2024-08-14 00:00:00-04:00,159.9741211,GOOGL
2024-08-15 00:00:00-04:00,160.9018402,GOOGL
2024-08-16 00:00:00-04:00,162.5577393,GOOGL
2024-08-19 00:00:00-04:00,166.2585754,GOOGL
2024-08-20 00:00:00-04:00,166.7673187,GOOGL
2024-08-21 00:00:00-04:00,165.4406128,GOOGL
2024-08-22 00:00:00-04:00,163.3956604,GOOGL
2024-08-23 00:00:00-04:00,165.2111664,GOOGL
2024-08-26 00:00:00-04:00,165.7498474,GOOGL
2024-08-27 00:00:00-04:00,164.2734985,GOOGL
2024-08-28 00:00:00-04:00,162.4480286,GOOGL
2024-08-29 00:00:00-04:00,161.380661,GOOGL
2024-08-30 00:00:00-04:00,162.9767151,GOOGL
2024-09-03 00:00:00-04:00,156.9715729,GOOGL
2024-09-04 00:00:00-04:00,156.0638123,GOOGL
2024-09-05 00:00:00-04:00,156.8518677,GOOGL
2024-09-06 00:00:00-04:00,150.5474548,GOOGL
2024-09-09 00:00:00-04:00,148.5397644,GOOGL
2024-09-10 00:00:00-04:00,148.4898224,GOOGL
2024-09-11 00:00:00-04:00,150.9869537,GOOGL
2024-09-12 00:00:00-04:00,154.5129242,GOOGL
2024-09-13 00:00:00-04:00,157.2797546,GOOGL
2024-09-16 00:00:00-04:00,157.8790588,GOOGL
2024-09-17 00:00:00-04:00,159.137619,GOOGL
2024-09-18 00:00:00-04:00,159.6270599,GOOGL
2024-09-19 00:00:00-04:00,161.9543915,GOOGL
2024-09-20 00:00:00-04:00,163.4027252,GOOGL
2024-09-23 00:00:00-04:00,161.6647186,GOOGL
2024-09-24 00:00:00-04:00,162.1042023,GOOGL
2024-09-25 00:00:00-04:00,161.30513,GOOGL
2024-09-26 00:00:00-04:00,162.5437012,GOOGL
2024-09-27 00:00:00-04:00,163.7623138,GOOGL
2024-09-30 00:00:00-04:00,165.660141,GOOGL
2024-10-01 00:00:00-04:00,166.7988434,GOOGL
2024-10-02 00:00:00-04:00,165.6701355,GOOGL
2024-10-03 00:00:00-04:00,165.6701355,GOOGL
2024-10-04 00:00:00-04:00,166.8687592,GOOGL
2024-10-07 00:00:00-04:00,162.7934265,GOOGL
2024-10-08 00:00:00-04:00,164.1918335,GOOGL
2024-10-09 00:00:00-04:00,161.6747131,GOOGL
2024-10-10 00:00:00-04:00,161.894455,GOOGL
2024-10-11 00:00:00-04:00,163.0531311,GOOGL
2024-10-14 00:00:00-04:00,164.7711639,GOOGL
2024-10-15 00:00:00-04:00,165.2705994,GOOGL
2024-10-16 00:00:00-04:00,164.970932,GOOGL
2024-10-17 00:00:00-04:00,162.7434692,GOOGL
2024-10-18 00:00:00-04:00,163.2329254,GOOGL
2024-10-21 00:00:00-04:00,163.8821869,GOOGL
2024-10-22 00:00:00-04:00,164.9509583,GOOGL
2024-10-23 00:00:00-04:00,162.5936584,GOOGL
2024-10-24 00:00:00-04:00,162.5337219,GOOGL
2024-10-25 00:00:00-04:00,165.0808105,GOOGL
2024-10-28 00:00:00-04:00,166.5291443,GOOGL
2024-10-29 00:00:00-04:00,169.4857483,GOOGL
2024-10-30 00:00:00-04:00,174.2602844,GOOGL
2024-10-31 00:00:00-04:00,170.9141235,GOOGL
2024-11-01 00:00:00-04:00,171.0939026,GOOGL
2024-11-04 00:00:00-05:00,169.0462646,GOOGL
2024-11-05 00:00:00-05:00,169.5457001,GOOGL
2024-11-06 00:00:00-05:00,176.3079376,GOOGL
2024-11-07 00:00:00-05:00,180.5430908,GOOGL
2024-11-08 00:00:00-05:00,178.1458435,GOOGL
2024-11-11 00:00:00-05:00,180.1435547,GOOGL
2024-11-12 00:00:00-05:00,181.4120789,GOOGL
2024-11-13 00:00:00-05:00,178.6752319,GOOGL
2024-11-14 00:00:00-05:00,175.3789978,GOOGL
2024-11-15 00:00:00-05:00,172.2925415,GOOGL
2024-11-18 00:00:00-05:00,175.0993195,GOOGL
2024-11-19 00:00:00-05:00,177.9160919,GOOGL
2024-11-20 00:00:00-05:00,175.7785339,GOOGL
2024-11-21 00:00:00-05:00,167.4381104,GOOGL
2024-11-22 00:00:00-05:00,164.5713806,GOOGL
2024-11-25 00:00:00-05:00,167.4580688,GOOGL
2024-11-26 00:00:00-05:00,168.9263916,GOOGL
2024-11-27 00:00:00-05:00,169.0362701,GOOGL
2024-11-29 00:00:00-05:00,168.7565918,GOOGL
2024-12-02 00:00:00-05:00,171.2936859,GOOGL
2024-12-03 00:00:00-05:00,171.1438446,GOOGL
2024-12-04 00:00:00-05:00,174.1703796,GOOGL
2024-12-05 00:00:00-05:00,172.4423676,GOOGL
2024-12-06 00:00:00-05:00,174.5100098,GOOGL
2024-12-09 00:00:00-05:00,175.3699951,GOOGL
2024-12-10 00:00:00-05:00,185.1699982,GOOGL
2024-12-11 00:00:00-05:00,195.3999939,GOOGL
2024-12-12 00:00:00-05:00,191.9600067,GOOGL
2024-12-13 00:00:00-05:00,189.8200073,GOOGL
2024-12-16 00:00:00-05:00,196.6600037,GOOGL
2024-12-17 00:00:00-05:00,195.4199982,GOOGL
2024-12-18 00:00:00-05:00,188.3999939,GOOGL
2024-12-19 00:00:00-05:00,188.5099945,GOOGL
2024-12-20 00:00:00-05:00,191.4100037,GOOGL
2024-12-23 00:00:00-05:00,194.6300049,GOOGL
2024-12-24 00:00:00-05:00,196.1100006,GOOGL
2024-12-26 00:00:00-05:00,195.6000061,GOOGL
